Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2021-06-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Texas,5.13E+08,1058523,Volume in cubic metres
2021-06-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Ohio,1.04E+08,253608,Volume in cubic metres
2021-06-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Wyoming,34886411,80619,Volume in cubic metres
2021-07-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Alabama,59723454,122107,Volume in cubic metres
2021-08-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Texas,9.46E+08,1754851,Volume in cubic metres
2021-11-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Ohio,1.34E+08,268523,Volume in cubic metres
2021-10-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Mississippi,11632451,27809,Volume in cubic metres
2021-10-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Missouri,5.01E+08,1027072,Volume in cubic metres
2021-11-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Illinois,3.79E+09,7030493,Volume in cubic metres
2021-11-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Colorado,3.15E+08,557751,Volume in cubic metres
2021-12-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Missouri,3.76E+08,738053,Volume in cubic metres
2021-12-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Oklahoma,8.49E+08,1636503,Volume in cubic metres
2022-02-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Missouri,4.59E+08,845575,Volume in cubic metres
2022-03-01,"2709.00.10 - Petroleum & bituminous min oils, crude, relative density >= 0.9042 (< 25°A.P.I.)",Canada,United States,Illinois,4.27E+09,6667219,Volume in cubic metres
