Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2022-01-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,50344837,85591,Volume in cubic metres
2022-07-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,91920352,108306,Volume in cubic metres
2023-04-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,1.25E+08,186993,Volume in cubic metres
2023-09-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Türkiye,N/A,13,0,Volume in cubic metres
2023-09-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,1.37E+08,191192,Volume in cubic metres
2023-10-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Türkiye,N/A,55,0,Volume in cubic metres
2024-01-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,57857829,99469,Volume in cubic metres
2024-07-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,96123157,140740,Volume in cubic metres
2025-08-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Arkansas,30,0,Volume in cubic metres
2021-11-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,55246458,86938,Volume in cubic metres
2022-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,63483876,90479,Volume in cubic metres
2022-03-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,44584824,58984,Volume in cubic metres
2022-04-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,84150976,95143,Volume in cubic metres
2022-05-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,75708122,88118,Volume in cubic metres
2022-09-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,1.33E+08,168452,Volume in cubic metres
2023-11-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,1.48E+08,197264,Volume in cubic metres
2024-01-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Germany,N/A,294,3,Volume in cubic metres
2024-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,1.34E+08,159060,Volume in cubic metres
2024-04-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,1.24E+08,164209,Volume in cubic metres
2024-09-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Georgia,14,0,Volume in cubic metres
2024-11-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Côte d'Ivoire,N/A,74206962,106964,Volume in cubic metres
2025-07-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,63082824,102584,Volume in cubic metres
2025-09-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United Arab Emirates,N/A,42,0,Volume in cubic metres
2026-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,India,N/A,89,1,Volume in cubic metres
2021-08-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,51466263,90935,Volume in cubic metres
2021-09-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,92049336,159845,Volume in cubic metres
2021-12-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,54179345,85849,Volume in cubic metres
2022-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,89715833,136891,Volume in cubic metres
2022-08-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,New York,13,0,Volume in cubic metres
2022-12-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,36175067,47715,Volume in cubic metres
2023-01-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,66906528,87339,Volume in cubic metres
2023-01-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Wisconsin,143,0,Volume in cubic metres
2023-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Ohio,12237,27,Volume in cubic metres
2023-03-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,54571518,79932,Volume in cubic metres
2023-06-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,79796119,127653,Volume in cubic metres
2023-07-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,72432864,110800,Volume in cubic metres
2023-11-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,California,1,0,Volume in cubic metres
2023-12-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,New York,5105,37,Volume in cubic metres
2025-05-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Germany,N/A,2,0,Volume in cubic metres
2024-01-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Colombia,N/A,54946860,81083,Volume in cubic metres
2024-07-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,1.24E+08,162621,Volume in cubic metres
2026-06-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,1.08E+08,117834,Volume in cubic metres
2025-09-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,India,N/A,17,0,Volume in cubic metres
2025-10-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,331,0,Volume in cubic metres
2025-10-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Canada,N/A,223,2,Volume in cubic metres
2025-12-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Washington,3509,25,Volume in cubic metres
